################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         18   5.0992836797990751E-03   5.8319173651547451E-01   2.3851656540978417E-02   3.7790771891778180E-02
         1         19   3.2282960174310137E-04   2.1613962298381934E-01   1.7072560754702336E-02   1.4026518665786074E-02
         1         20   4.9647513277769798E-02   1.6851617426880205E+00   1.4541325969622548E-01   1.0954306125703019E-01
         1         21   3.4073471604482279E-03   3.1637071808861694E-01   1.8422597685566731E-02   2.0125274191649705E-02
         1         22   1.3121382132811758E-04   1.0258348935693717E-01   6.3684016949344113E-03   6.6071626858835008E-03
         1         23   3.3813162813665920E-02   9.1618560879938959E-01   8.1266384503339659E-02   5.7918502576695619E-02
         1         24   4.1708500446352941E-04   1.5785966980407004E-01   4.6646981268568680E-03   9.8630700614506534E-03
         1         25   7.3528900917695659E-04   5.9225627251013005E-02   3.7042174075139775E-03   3.3118079036492604E-03
         1         26   8.9828333062972488E-03   1.9426085555380748E-01   2.4093377110646314E-02   1.0980657457661641E-02
         1         27   2.1228022180417680E-04   8.7777813240869623E-03   2.0550705761547975E-03   5.8802103858137062E-04
         2          1   1.5142595331454249E+00   1.0005711988560002E+01   2.6544664635087183E+00   6.7806617585689344E-01
         2          2   4.4366445360926210E-01   4.6195409357987094E+00   9.6587051599896079E-01   3.3688559575009175E-01
         2          3   1.1907810568758721E+00   7.5323544094345012E+00   2.0327396422723472E+00   5.0607867531004291E-01
         2          4   2.7576036468694687E-01   3.3862131032504497E+00   6.5929732667024821E-01   2.5004687333979797E-01
         2          5   8.0580777590695674E-01   4.5356481255168557E+00   1.2986230824577938E+00   2.9449908325462504E-01
         2          6   1.0517053799863607E-01   1.8909877539194522E+00   3.0673921331641835E-01   1.4198497108573313E-01
         2          7   5.6949141690859717E-01   2.6154328621607861E+00   8.4791273805289535E-01   1.5714071578589722E-01
         2          8   2.3251646720171409E-02   9.3641034200657891E-01   1.1140979781150938E-01   6.9796654369842920E-02
         2          9   5.1354161698115453E-01   1.8545341781448568E+00   7.2488398046527269E-01   9.8011511620610281E-02
         2         10   1.1057465545812288E-01   2.9121456897811355E+00   4.7474421797982730E-01   2.3441807910092263E-01
         2         11   3.5269317308496512E-01   1.0714592032613126E+00   5.3547944391821689E-01   4.5179661104164701E-02
         2         12   3.0424313539726335E-02   2.5277642768509310E+00   3.1652845366685034E-01   2.1026891409654727E-01
         2         13   1.5980022688828249E-01   6.6348817066386478E-01   3.7042498273566316E-01   3.0753700953609124E-02
         2         14   2.7781847150922792E-03   2.3030057819082543E+00   1.7737800292869685E-01   1.8600239464755822E-01
         2         15   9.5641036809350141E-03   3.9085233064570801E-01   1.5305059323200967E-01   2.7862233984302306E-02
         2         16   3.7500170432291853E-06   2.0367068825281995E+00   5.4144316535640356E-02   1.4305857218443541E-01
         2         17   2.4726232100491102E-03   3.4335400617385059E-01   1.6684597803376656E-02   2.1902951351570873E-02
         2         18   1.7405672406959621E-05   5.6319316766205323E-02   9.5478184601751812E-04   3.3588039002222379E-03
         2         19   5.4785372164648002E-02   3.0182597583971473E+00   2.0392031625072374E-01   2.0088721011517160E-01
         2         20   1.3795234987637444E-03   4.9878800454061345E-01   1.2788265359933434E-02   3.1829452602194934E-02
         2         21   6.6852772684814470E-03   2.6739582842775922E-01   3.0851859894574375E-02   1.7089886758420002E-02
         2         22   1.7021399438214367E-02   1.4167796508898465E+00   7.6274174813506776E-02   9.2852504206357725E-02
         2         23   1.9759831791959889E-02   4.0756378297923918E-01   4.8843503112397928E-02   2.5474332458885442E-02
         2         24   5.2768632746659277E-04   2.3324050667069179E-01   7.2057238727819490E-03   1.4495435261027756E-02
         2         25   1.1144879740881774E-05   3.5285772934088605E-02   4.2545240948261046E-04   2.0471375111486014E-03
         2         26   1.6013752685265070E-02   8.2245409953473070E-01   5.0845479076508424E-02   5.2802834522172978E-02
         2         27   3.9898424495541755E-03   7.8557031440100333E-01   3.6926675414383131E-02   5.0474458307624807E-02
         2         28   4.0523818189746801E-05   9.8448068666706065E-02   1.2119235889230273E-03   5.7945700128174682E-03
         2         29   6.0374649986214670E-03   9.9251766407842473E-02   1.6156539248049703E-02   5.5245068674135544E-03
         2         30   2.9595491075765702E-03   1.5478537567691847E-01   1.1641055270110558E-02   8.9415193910804582E-03
